BRE,HEA,SEC,INE,FAC,HAS,HAB,SIL,UGL,UNT,UNE,PR,POL,VAX,DIS,EXA,ROB
5,4,5,3,3,3,4,5,5,6,5,4,5,44,3,8,8
2,6,3,2,3,4,5,5,5,1,1,1,1,35,0,1,6
3,2,1,1,1,1,1,1,1,1,1,1,1,17,0,0,2
6,4,2,1,1,2,2,1,1,2,1,1,2,51,7,0,5
1,1,6,4,4,2,5,4,2,1,4,2,1,48,0,0,1
4,3,5,4,3,4,4,2,2,2,2,2,1,38,0,0,0
5,3,2,2,3,2,2,1,1,2,4,4,3,33,5,1,7
7,6,4,4,4,3,3,2,2,2,2,7,8,18,3,5,5
6,5,7,5,5,5,5,6,6,6,6,6,4,64,6,7,6
4,2,2,2,2,1,1,1,1,1,1,1,4,34,0,0,0
1,1,3,2,2,4,2,4,4,2,4,4,3,34,0,4,6
4,2,6,5,3,1,1,2,1,1,1,1,4,49,0,1,5
1,1,1,1,1,1,1,1,1,1,7,1,1,35,0,0,9
2,2,5,2,2,1,2,1,2,1,1,2,5,26,0,2,3
2,1,1,1,1,1,1,1,1,1,1,1,2,27,0,0,5
7,5,5,5,4,4,4,5,4,5,5,7,4,65,6,9,5
2,2,2,2,1,2,2,2,2,2,2,4,4,49,0,2,4
3,5,4,4,3,1,1,1,1,1,1,1,4,51,2,4,5
6,4,4,3,3,2,2,2,2,5,5,3,2,38,1,3,5
2,2,2,2,2,2,2,2,2,2,2,2,3,32,2,3,3
3,3,5,5,4,5,2,2,2,2,2,2,4,43,2,0,6
1,1,1,1,1,1,1,1,1,1,1,1,4,36,0,0,6
1,1,1,1,1,1,1,1,1,1,1,1,7,66,4,4,6
1,6,1,1,1,1,1,1,1,1,1,1,1,12,0,0,7
5,5,3,2,2,1,1,1,1,1,1,2,5,28,1,0,5
5,5,2,1,1,1,1,3,2,2,4,2,2,39,0,1,0
6,4,4,4,4,4,4,4,4,4,4,5,4,43,0,4,6
3,2,3,2,2,2,1,2,2,2,2,1,4,32,1,1,6
5,3,2,1,1,3,5,4,2,2,5,5,7,38,3,1,4
1,1,1,1,2,1,1,1,1,1,1,1,2,13,0,0,2
7,7,6,4,4,4,5,7,7,7,7,7,4,54,1,5,6
7,7,7,4,1,6,5,7,7,1,7,7,7,72,7,12,11
2,2,2,2,2,2,2,2,1,1,1,1,5,43,0,0,0
6,6,5,4,2,2,5,3,3,3,3,4,5,44,5,7,7
6,6,6,6,6,5,6,6,5,6,6,6,4,63,3,6,5
2,5,7,4,4,1,1,1,1,1,1,1,2,48,0,0,6
2,2,4,4,2,5,2,2,2,2,2,5,4,46,3,5,7
7,1,7,1,1,1,1,1,1,1,7,1,8,43,0,0,0
5,4,4,4,4,2,4,4,4,4,4,4,4,52,6,7,7
7,7,3,1,5,7,5,7,7,5,6,6,8,30,10,8,12
7,7,7,7,7,6,7,5,5,4,6,7,8,51,0,0,4
6,4,6,6,6,6,6,6,6,6,6,6,8,41,5,8,9
6,6,4,3,2,4,6,2,2,2,2,6,4,43,3,4,5
7,7,4,5,4,5,5,7,7,4,5,2,3,44,3,6,6
2,5,3,2,1,1,1,2,2,1,1,1,1,23,0,0,3
7,6,6,5,4,2,3,2,2,2,2,5,8,65,1,6,8
7,7,2,1,4,1,3,1,1,1,4,1,2,39,0,1,4
1,1,1,1,1,1,1,1,1,1,1,1,3.282202708,29,0,0,0
5,3,1,1,1,1,5,1,1,1,1,1,2,29,4,0,0
5,5,4,4,3,3,3,5,5,6,6,3,3,45,1,3,3
7,7,7,5,7,2,4,4,4,6,7,7,4,37,0,1,2
7,2,5,3,5,5,7,5,4,1,1,5,1,55,0,6,7
5,5,2,2,2,1,2,2,2,2,2,2,4,37,0,0,0
6,6,6,4,4,2,2,3,4,4,4,5,3,53,0,8,7
5,5,3,4,4,4,4,5,5,5,4,4,2,38,6,4,8
4,4,4,4,4,5,5,4,4,4,2,5,4,41,0,2,6
4,3,2,2,2,2,2,2,2,2,2,2,4,41,2,1,6
1,1,6,2,1,1,1,1,1,1,1,1,1,38,0,0,5
6,7,7,7,6,3,4,4,5,5,6,6,4,67,3,6,2
6,5,7,6,5,1,3,1,1,1,1,5,8,46,1,3,4
3,3,1,3,2,1,1,1,1,1,1,1,8,29,6,6,6
3,4,2,2,2,1,1,4,2,2,2,2,3,37,0,3,6
7,7,6,5,1,1,3,1,1,1,1,7,8,58,0,7,6
5,2,4,4,4,2,2,2,2,4,2,4,7,43,1,4,6
3,1,7,3,1,7,7,7,7,7,7,7,7,53,0,6,6
5,5,2,2,3,1,1,2,2,2,2,2,5,33,1,0,6
5,6,6,5,5,5,5,1,5,6,5,6,2,49,8,0,1
7,6,6,5,6,4,6,4,4,2,2,4,3,42,3,0,4
6,7,7,6,6,1,1,5,4,4,4,4,8,32,0,4,6
1,4,1,1,3,2,3,3,3,2,4,2,4,30,0,0,4
1,6,1,1,1,1,1,1,1,1,1,1,2,42,0,0,3
1,1,1,1,1,1,1,1,1,1,1,1,4,19,0,0,6
5,5,4,3,5,5,7,6,6,4,5,6,4,53,0,5,6
2,5,4,3,3,2,2,2,2,2,2,2,2,35,0,0,6
6,6,2,2,2,2,2,2,2,2,2,2,1,51,0,0,0
1,1,4,3,3,1,1,1,1,1,1,1,3,23,0,0,2
1,1,1,1,1,1,1,5,4,1,1,1,4,52,0,2,6
6,6,2,1,1,4,5,1,1,5,1,1,2,29,0,0,0
5,5,2,1,1,1,1,1,1,1,1,1,2,48,0,0,3
5,5,4,2,2,2,3,4,4,3,4,3,3,35,5,6,6
2,2,5,2,4,1,1,1,1,2,2,1,3,41,0,0,5
6,4,4,4,4,4,5,3,3,3,4,4,4,46,6,4,5
1,1,7,6,5,1,3,1,1,1,1,6,4,59,10,10,9
5,1,4,5,4,1,7,2,2,6,1,1,4,32,0,0,7
3,5,5,1,2,2,1,1,1,1,1,1,2,25,0,0,6
6,6,4,2,2,5,6,4,4,4,4,4,4,60,0,2,0
3,4,2,2,2,1,2,1,1,1,2,4,4,39,0,1,5
4,5,5,5,2,3,7,1,1,1,1,5,5,45,1,7,9
5,5,5,4,4,5,5,4,4,3,3,5,8,47,7,7,8
7,7,6,6,6,7,7,7,7,6,6,7,4,55,4,10,9
5,5,5,4,6,4,4,2,2,2,2,2,8,47,3,9,7
1,1,1,1,1,1,1,1,1,1,1,1,4,45,0,1,0
1,1,1,4,1,4,1,1,1,1,1,7,7,62,2,7,9
5,6,1,1,1,1,1,1,1,1,1,1,2,14,0,0,3
6,6,4,4,4,1,5,6,6,7,7,7,4,37,0,8,6
5,5,4,3,3,2,5,4,3,3,3,4,4,45,0,5,7
2,2,2,2,2,2,2,2,2,2,2,2,1,36,3,3,6
5,4,3,2,3,3,3,2,2,2,2,2,2,42,4,5,6
5,5,3,3,3,2,2,3,2,2,2,2,2,29,2,1,5
5,5,7,4,3,1,2,4,4,5,5,1,4,33,0,0,6
2,5,2,2,2,1,1,2,2,1,2,2,1,23,0,0,7
